img_url,catalog_number,ids
/images/products/item542_image_1904023234.jpg,3010-95,2887059
/images/products/item967_image_1608113947.jpg,3704-4S-95,2887216
/images/products/item985_image_1309525031.jpg,366-95,2887192
/images/products/item2710_image_1064482652.jpg,406-95,2887300
/images/products/item29_image_1055269564.jpg,532-43,2887396
/images/products/item354_image_2098868350.jpg,534AV-43-SHELF,2887400
/images/products/item2129_image_792845331.jpg,FDC-SH-7218-95,2887604
/images/products/item2035_image_1556789000.jpg,DC-482472-BDLP-95,2887480
/images/products/item2146_image_1539282288.jpg,FS-SH-2930,2887608
/images/products/item1554_image_1878317345.jpg,HDCP243678-4S95,2887740
/images/products/item1732_image_16913080.jpg,HDC36-126PB240-95,2887672
/images/products/item1843_image_1262908202.jpg,HDJC244878-156-4S5295,2887796
/images/products/item1964_image_1683098124.jpg,HMT-2436-3-95,2887836
/images/products/item1968_image_14678595.jpg,HMT-3672-3-95,2887844
/images/products/item1966_image_2038948361.jpg,HMT-3048-3-95,2887840
/images/products/item2462_image_53541522.jpg,PSD-2436-3-2D-95,2888044
/images/products/item1973_image_275059051.jpg,RSC-3048-2-3K-TLD-95,2888120
/images/products/item986_image_1969492667.jpg,365-95,2887191
/images/products/item988_image_1766047259.jpg,382-95,2887227
/images/products/item2709_image_2055686169.jpg,406-75,2887299
/images/products/item51_image_314952085.jpg,534AV-43,2887399
/images/products/item351_image_83803719.jpg,564-H721,2887407
/images/products/item154_image_2023984209.jpg,802-95,2887435
/images/products/item2142_image_2117463849.jpg,FS-SH-1439,2887607
/images/products/item1815_image_1444356666.jpg,HDC36-108-3S5295,2887667
/images/products/item1988_image_2086241372.jpg,HDC60-72DC18TB5B95,2887699
/images/products/item1887_image_329934919.gif,HDCM48-18-2S5295,2887731
/images/products/item2087_image_776368344.jpg,HDC-SH-2430-95,2887751
/images/products/item1207_image_982207124.jpg,HDCV246078-4S95,2887759
/images/products/item1842_image_1589667088.jpg,HDJC244878-156-4S1795,2887795
/images/products/item1662_image_901850560.jpg,HET-3672-2-95,2887831
/images/products/item1945_image_1765476961.jpg,JCBDLP694RDR-5295,2887883
/images/products/item2776_image_906049913.jpg,HTL-3060-DD-2AS-95,2887847
/images/products/item1679_image_866889816.jpg,RSC3-1836-2-95,2888135
/images/products/item1975_image_1038369316.jpg,SSC-602484-5S-95,2888207
/images/products/item54_image_1719968506.jpg,520-43,2888347
/images/products/item1030_image_916151735.jpg,3100-BLP-18-95,2887076
/images/products/item1080_image_56210296.jpg,2603-4S-95,2887044
/images/products/item1780_image_674356060.jpg,3702-16-3S-1795,2887201
/images/products/item2707_image_1541982067.jpg,406-08,2887297
/images/products/item383_image_1843297121.jpg,459-75,2887329
/images/products/item150_image.jpg,610-95,2887425
/images/products/item2147_image_235247971.jpg,FS-SH-2939,2887609
/images/products/item1874_image_2144231815.gif,HDCM48-42-1795,2887733
/images/products/item1555_image_1854145980.jpg,HDCP244878-4S95,2887741
/images/products/item1205_image_87455247.jpg,HDCV243678-4S95,2887757
/images/products/item2091_image_1561915621.jpg,HDC-SH-2442-95,2887753
/images/products/item2166_image_183184191.jpg,LPRSS-17.25X68-95,2887913
/images/products/item1139_image_494309553.jpg,RSC-3036-2-2DR-95,2888117
/images/products/item1974_image_1337630812.jpg,RSC-3060-2-3K-TLD-95,2888125
/images/products/item104_image_1038243463.jpg,309B-95,2887073
/images/products/item1781_image_1065600886.jpg,3702-16-3S-5295,2887202
/images/products/item194_image_1862305315.jpg,563-H720,2887406
/images/products/item1998_image_277049627.jpg,5003-30-95,2887350
/images/products/item273_image.jpg,907-08-S129,2887438
/images/products/item1981_image_1993457116.jpg,H302,2887630
/images/products/item1556_image_814166796.jpg,HDCP246078-4S95,2887742
/images/products/item1875_image_634338341.gif,HDCM48-42-5295,2887734
/images/products/item1886_image_772516708.gif,HDCM48-18-2S1795,2887730
/images/products/item1814_image_1122716316.jpg,HDC36-108-3S1795,2887666
/images/products/item1963_image_1872615175.jpg,HMT-1836-3-95,2887834
/images/products/item1944_image_1456206547.jpg,JCBDLP694RDR-1795,2887882
/images/products/item1965_image_1409281622.jpg,HMT-2448-3-95,2887838
/images/products/item1948_image_1349235177.jpg,JCBDLP724RDR-5295,2887886
/images/products/item1967_image_1053622376.jpg,HMT-3060-3-95,2887842
/images/products/item1206_image_1157793481.jpg,HDCV244878-4S95,2887758
/images/products/item2163_image_1618842853.jpg,LPW-46X20-95,2887922
/images/products/item2739_image_541439088.jpg,RSC-2448-4-LD-95,2888114
/images/products/item2591_image_1787524695.jpg,RSC-3036-2-PB-2DR-95,2888118
/images/products/item2037_image_1468378638.jpg,SJC-BDLP-95,2888190
/images/products/item758_image_582662004.jpg,SP-515-95,2888278
/images/products/item2128_image_675624421.jpg,FDC-SH-6018-95,2887602
/images/products/item2144_image_1640018983.jpg,FS-SH-1419,2887606
/images/products/item2040_image_1523840338.jpg,SSC-602484-4S-95,2888206
