,catalog_number
0,96440447
1,96609016
2,91121984
3,48268047
4,96033872
5,96534214
6,96534215
7,96527109
8,96527111
9,97568456
10,155544
11,155971
12,96523001
13,96522987
14,96523177
15,96082186
16,96082219
17,96081057
18,96083071
19,96083056
20,29Z53003
21,96416371
22,96419692
23,96083201
24,96083135
25,96083212
26,96426036
27,96415826
28,96084171
29,96415999
30,96426183
31,96082326
32,96082505
33,96081497
34,96083553
35,96084429
36,96084539
37,96084523
38,96082892
39,96082759
40,96081903
41,96081767
42,96083950
43,96419729
44,96083743
45,96417841
46,96085094
47,96085142
48,96418874
49,96454215
50,105029
51,425055
52,15784
53,16728
54,16729
55,97751247
56,345015
57,425062
58,425063
59,96525490
60,435002
61,185034
62,185035
63,205117
64,96455103
65,98126826
66,96860201
67,96440351
68,96449949
69,43634455
70,105564
71,155542
72,155973
73,105563
74,105565
75,155543
76,155972
77,100517
78,100971
79,150574
80,96509610
81,99030082
82,96546004
83,96411814
84,96411806
85,96011036
86,91123160
87,59896145
88,59896277
89,59896174
90,52722373
91,59896341
92,59896343
93,96402782
94,95906636
95,96411614
